Country,Primary Language,Freq
Botswana,English,0.7
Central African Republic,French,0.2
Canada,English,0.7
Switzerland,German,0.3
Chile,Spanish,0.1
Ivory Coast,French,0.2
Clipperton Island,French,0.2
Cameroon,English,0.7
Anguilla,English,0.7
Argentina,Spanish,0.1
Antigua and Barbuda,English,0.7
Australia,English,0.7
Austria,German,0.3
Benin,French,0.2
Burkina Faso,French,0.2
Jamaica,English,0.7
Jersey,English,0.7
Saint Barthelemy,French,0.2
Belarus,Russian,0.5
Belize,English,0.7
Bermuda,English,0.7
Bolivia,Spanish,0.1
Barbados,English,0.7
Democratic Republic of the Congo,French,0.2
Republic of Congo,French,0.2
Cook Islands,English,0.7
Colombia,Spanish,0.1
Costa Rica,Spanish,0.1
Kenya,English,0.7
Kiribati,English,0.7
Cuba,Spanish,0.1
Cayman Islands,English,0.7
Germany,German,0.3
Djibouti,French,0.2
Dominica,English,0.7
Dominican Republic,Spanish,0.1
Ecuador,Spanish,0.1
Spain,Spanish,0.1
Fiji,English,0.7
Falkland Islands,English,0.7
France,French,0.2
Federated States of Micronesia,English,0.7
Gabon,French,0.2
United Kingdom,English,0.7
Guernsey,English,0.7
Ghana,English,0.7
Gibraltar,English,0.7
Guinea,French,0.2
Gambia,English,0.7
Equatorial Guinea,Spanish,0.1
Grenada,English,0.7
Guyana,English,0.7
Honduras,Spanish,0.1
Guatemala,Spanish,0.1
Guam,English,0.7
Haiti,French,0.2
Isle of Man,English,0.7
British Indian Ocean Territory,English,0.7
Ireland,English,0.7
Italy,Italian,0.4
Mali,French,0.2
Liberia,English,0.7
Saint Lucia,English,0.7
Liechtenstein,German,0.3
Saint Martin,French,0.2
Monaco,French,0.2
Madagascar,French,0.2
Mexico,Spanish,0.1
Wallis and Futuna,French,0.2
Zambia,English,0.7
Russia,Russian,0.5
South Sudan,English,0.7
Senegal,French,0.2
Saint Helena,English,0.7
Paraguay,Spanish,0.1
French Polynesia,French,0.2
Montserrat,English,0.7
Mauritius,French,0.2
Malawi,English,0.7
Namibia,English,0.7
New Caledonia,French,0.2
Niger,French,0.2
Norfolk Island,English,0.7
Nigeria,English,0.7
Nicaragua,Spanish,0.1
New Zealand,English,0.7
Pakistan,English,0.7
Panama,Spanish,0.1
Pitcairn Islands,English,0.7
Peru,Spanish,0.1
Palau,English,0.7
Puerto Rico,Spanish,0.1
Saint Kitts and Nevis,English,0.7
Sierra Leone,English,0.7
El Salvador,Spanish,0.1
San Marino,Italian,0.4
Saint Pierre and Miquelon,French,0.2
United States of America,English,0.7
Vatican,Italian,0.4
Saint Vincent and the Grenadines,English,0.7
Venezuela,Spanish,0.1
British Virgin Islands,English,0.7
Swaziland,English,0.7
Sint Maarten,English,0.7
Turks and Caicos Islands,English,0.7
Chad,French,0.2
Togo,French,0.2
Trinidad and Tobago,English,0.7
Uganda,English,0.7
United States Minor Outlying Islands,English,0.7
Uruguay,Spanish,0.1
