Country,Primary Language (based on 2015)
Botswana,English
Central African Republic,French
Canada,English
Switzerland,German
Chile,Spanish
China,Chinese
Ivory Coast,French
Clipperton Island,French
Cameroon,English
Aruba,Dutch
Afghanistan,Persian
Angola,Portuguese
Anguilla,English
Albania,Albanian
Aland,Finnish
Andorra,Catalan
United Arab Emirates,Arabic
Argentina,Spanish
Armenia,Armenian
American Samoa,Samoan
Antigua and Barbuda,English
Australia,English
Austria,German
Azerbaijan,Azerbaijani
Belgium,Dutch
Benin,French
Burkina Faso,French
Bangladesh,Bengali
Mongolia,Khalkha Mongol
Burundi,Kirundi
Jamaica,English
Jersey,English
Bulgaria,Bulgarian
Bahrain,Arabic
Bosnia and Herzegovina,Bosnian
Saint Barthelemy,French
Belarus,Russian
Belize,English
Bermuda,English
Bolivia,Spanish
Brazil,Portuguese
Barbados,English
Brunei,Malay
Democratic Republic of the Congo,French
Republic of Congo,French
Cook Islands,English
Colombia,Spanish
Comoros,Arabic
Cape Verde,Portuguese
Costa Rica,Spanish
Bhutan,Dzongkha
Jordan,Arabic
Kazakhstan,Kazakh
Kenya,English
Kyrgyzstan,Kyrgyz
Cambodia,Khmer
Kiribati,English
Cuba,Spanish
Cayman Islands,English
Northern Cyprus,Turkish
Cyprus,Greek
Czech Republic,Czech
Germany,German
Djibouti,French
Dominica,English
Denmark,Danish
Dominican Republic,Spanish
Algeria,Arabic
Ecuador,Spanish
Egypt,Arabic
Eritrea,Tigrinya
Spain,Spanish
Estonia,Estonian
Ethiopia,Amharic
Finland,Finnish
Fiji,English
Falkland Islands,English
France,French
Faroe Islands,Faroese
Federated States of Micronesia,English
Gabon,French
United Kingdom,English
Georgia,Georgian
Guernsey,English
Ghana,English
Gibraltar,English
Guinea,French
Gambia,English
Guinea Bissau,Portuguese
Equatorial Guinea,Spanish
Greece,Greek
Grenada,English
Greenland,Greenlandic
Guyana,English
Honduras,Spanish
Guatemala,Spanish
Guam,English
Hong Kong S.A.R.,Cantonese
Croatia,Croatian
Haiti,French
Hungary,Hungarian
Indonesia,Bahasa Indonesia
Isle of Man,English
India,Hindi
British Indian Ocean Territory,English
Ireland,English
Iran,Persian
Iraq,Arabic
Iceland,Icelandic
Israel,Hebrew
Italy,Italian
Japan,Japanese
Macedonia,Macedonian
Mali,French
Malta,Maltese
Myanmar,Burmanese
Montenegro,Montenegrin
Kosovo,Albanian
Kuwait,Arabic
Laos,Lao
Liberia,English
Libya,Arabic
Saint Lucia,English
Liechtenstein,German
Lebanon,Arabic
Sri Lanka,Sinhala
Lesotho,Sotho
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Latvia,Latvian
Saint Martin,French
Morocco,Arabic
Monaco,French
Moldova,Moldovan
Madagascar,French
Maldives,Dhivehi
Mexico,Spanish
Marshall Islands,Marshallese
Wallis and Futuna,French
Samoa,Samoan
Yemen,Arabic
South Africa,Afrikaans
Zambia,English
Zimbabwe,Shona
Romania,Romanian
Russia,Russian
Rwanda,Kinyarwanda
Western Sahara,Arabic
Saudi Arabia,Arabic
Sudan,Arabic
South Sudan,English
Senegal,French
Singapore,Chinese
Saint Helena,English
Northern Mariana Islands,Chamorro
Mozambique,Portuguese
Mauritania,Arabic
North Korea,Korean
Portugal,Portuguese
Paraguay,Spanish
Palestine,Arabic
French Polynesia,French
Qatar,Arabic
Montserrat,English
Mauritius,French
Malawi,English
Malaysia,Bahasa Malaysia
Namibia,English
New Caledonia,French
Niger,French
Norfolk Island,English
Nigeria,English
Nicaragua,Spanish
Niue,Niuean
Netherlands,Dutch
Norway,Norwegian
Nepal,Nepali
Nauru,Nauruan
New Zealand,English
Oman,Arabic
Pakistan,English
Panama,Spanish
Pitcairn Islands,English
Peru,Spanish
Philippines,Filipino
Palau,English
Papua New Guinea,Tok Pisin
Poland,Polish
Puerto Rico,Spanish
Saint Kitts and Nevis,English
South Korea,Korean
Solomon Islands,Melanesian pidgin
Sierra Leone,English
El Salvador,Spanish
San Marino,Italian
Somaliland,Somali
Somalia,Somali
Saint Pierre and Miquelon,French
Republic of Serbia,Serbian
United States of America,English
Uzbekistan,Uzbek
Vatican,Italian
Saint Vincent and the Grenadines,English
Venezuela,Spanish
British Virgin Islands,English
Vietnam,Vietnamese
Vanuatu,Creole
Sao Tome and Principe,Portuguese
Suriname,Dutch
Slovakia,Slovak
Slovenia,Slovenian
Sweden,Swedish
Swaziland,English
Sint Maarten,English
Seychelles,Creole
Syria,Arabic
Turks and Caicos Islands,English
Chad,French
Thailand,Thai
Tajikistan,Tajik
Turkmenistan,Turkmen
Togo,French
East Timor,Tetum
Tonga,Tongan
Trinidad and Tobago,English
Tunisia,Arabic
Turkey,Turkish
Tuvalu,Tuvaluan
Taiwan,Chinese
United Republic of Tanzania,Swahili
Uganda,English
Ukraine,Ukrainian
United States Minor Outlying Islands,English
Uruguay,Spanish
